aaas_row_key,aaas_page,aaas_field,aaas_label,label_kind,status,mapping_type,federal_account_codes,federal_account_titles,rationale,evidence_ids,integration_state
DOEEERE1::Wind Energy,Energy,DOEEERE1,Wind Energy,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE2::Advanced Manufacturing,Energy,DOEEERE2,Advanced Manufacturing,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE2::Building Tech,Energy,DOEEERE2,Building Tech,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE2::Geothermal Tech,Energy,DOEEERE2,Geothermal Tech,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE2::Vehicle Tech,Energy,DOEEERE2,Vehicle Tech,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE2::Water Power,Energy,DOEEERE2,Water Power,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEFossil:: Total Budget,Energy,DOEFossil, Total Budget,aggregate_or_total,resolved,one_to_one_or_alias,089-0213,"Fossil Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0213,reference_only_pending_phase_3_2a_contract
DOEFossil::CCUS,Energy,DOEFossil,CCUS,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0213,"Fossil Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0213,reference_only_pending_phase_3_2a_contract
DOEFossil::Natural Gas Tech,Energy,DOEFossil,Natural Gas Tech,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0213,"Fossil Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0213,reference_only_pending_phase_3_2a_contract
DOEFossil::Other Advanced Coal R&D,Energy,DOEFossil,Other Advanced Coal R&D,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0213,"Fossil Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0213,reference_only_pending_phase_3_2a_contract
DOEFossil::Unconventional Tech,Energy,DOEFossil,Unconventional Tech,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0213,"Fossil Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0213,reference_only_pending_phase_3_2a_contract
DOENuc:: Total Budget,Energy,DOENuc, Total Budget,aggregate_or_total,resolved,one_to_one_or_alias,089-0319,"Nuclear Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0319,reference_only_pending_phase_3_2a_contract
DOENuc::Adv. Reactor Demonstration,Energy,DOENuc,Adv. Reactor Demonstration,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0319,"Nuclear Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0319,reference_only_pending_phase_3_2a_contract
DOENuc::Nuclear Enabling Tech,Energy,DOENuc,Nuclear Enabling Tech,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0319,"Nuclear Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0319,reference_only_pending_phase_3_2a_contract
DOENuc::Reactor Concepts RD&D,Energy,DOENuc,Reactor Concepts RD&D,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0319,"Nuclear Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0319,reference_only_pending_phase_3_2a_contract
DOEOther::ARPA-E,Energy,DOEOther,ARPA-E,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0337,"Advanced Research Projects Agency-Energy, Energy Programs, Energy",The AAAS label directly matches the official federal-account title or a stable shortened form.,aaas:fy2026-powerbi|usaspending:089-0337,reference_only_pending_phase_3_2a_contract
DOEOther::Cybersecurity and Response,Energy,DOEOther,Cybersecurity and Response,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-2250,"Cybersecurity, Energy Security, and Emergency Response, Energy Programs, Energy",The AAAS label directly matches the official federal-account title or a stable shortened form.,aaas:fy2026-powerbi|usaspending:089-2250,reference_only_pending_phase_3_2a_contract
DOEOther::Electricity Delivery,Energy,DOEOther,Electricity Delivery,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0318,"Electricity, Energy Programs, Energy",The AAAS label directly matches the official federal-account title or a stable shortened form.,aaas:fy2026-powerbi|usaspending:089-0318,reference_only_pending_phase_3_2a_contract
DOEOther::Energy Information Administration,Energy,DOEOther,Energy Information Administration,account_or_program_line,resolved,one_to_one_or_alias,089-0216,"Energy Information Administration, Energy Programs, Energy",The AAAS label directly matches the official federal-account title or a stable shortened form.,aaas:fy2026-powerbi|usaspending:089-0216,reference_only_pending_phase_3_2a_contract
DOEDemo::Clean Energy Demonstration,Energy,DOEDemo,Clean Energy Demonstration,account_or_program_line,resolved,one_to_one_or_alias,089-2297,"Clean Energy Demonstrations, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-2297,reference_only_pending_phase_3_2a_contract
DOENNSA:: RDT&E Total,Energy,DOENNSA, RDT&E Total,aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,089-0240|089-0309,"Weapons Activities, National Nuclear Security Administration, Energy|Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy",AAAS presents an NNSA RDT&E aggregate spanning Weapons Activities and Defense Nuclear Nonproliferation.,aaas:fy2026-powerbi|usaspending:089-0240|usaspending:089-0309,reference_only_pending_phase_3_2a_contract
DOENNSA::Nonproliferation and Forensics R&D,Energy,DOENNSA,Nonproliferation and Forensics R&D,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0309,"Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy",The label identifies the Defense Nuclear Nonproliferation account portfolio.,aaas:fy2026-powerbi|usaspending:089-0309,reference_only_pending_phase_3_2a_contract
DOENNSA::RDT&E: Academic Programs,Energy,DOENNSA,RDT&E: Academic Programs,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0240,"Weapons Activities, National Nuclear Security Administration, Energy",The program is presented in AAAS under NNSA weapons RDT&E and maps to the Weapons Activities account.,aaas:fy2026-powerbi|usaspending:089-0240,reference_only_pending_phase_3_2a_contract
DOENNSA::RDT&E: Adv Sim & Computing,Energy,DOENNSA,RDT&E: Adv Sim & Computing,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0240,"Weapons Activities, National Nuclear Security Administration, Energy",The program is presented in AAAS under NNSA weapons RDT&E and maps to the Weapons Activities account.,aaas:fy2026-powerbi|usaspending:089-0240,reference_only_pending_phase_3_2a_contract
DOENNSA::RDT&E: Engineering,Energy,DOENNSA,RDT&E: Engineering,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0240,"Weapons Activities, National Nuclear Security Administration, Energy",The program is presented in AAAS under NNSA weapons RDT&E and maps to the Weapons Activities account.,aaas:fy2026-powerbi|usaspending:089-0240,reference_only_pending_phase_3_2a_contract
DOENNSA::RDT&E: IC Fusion,Energy,DOENNSA,RDT&E: IC Fusion,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0240,"Weapons Activities, National Nuclear Security Administration, Energy",The program is presented in AAAS under NNSA weapons RDT&E and maps to the Weapons Activities account.,aaas:fy2026-powerbi|usaspending:089-0240,reference_only_pending_phase_3_2a_contract
DOENNSA::RDT&E: Manufacturing,Energy,DOENNSA,RDT&E: Manufacturing,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0240,"Weapons Activities, National Nuclear Security Administration, Energy",The program is presented in AAAS under NNSA weapons RDT&E and maps to the Weapons Activities account.,aaas:fy2026-powerbi|usaspending:089-0240,reference_only_pending_phase_3_2a_contract
DOENNSA::RDT&E: Science Assessment,Energy,DOENNSA,RDT&E: Science Assessment,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0240,"Weapons Activities, National Nuclear Security Administration, Energy",The program is presented in AAAS under NNSA weapons RDT&E and maps to the Weapons Activities account.,aaas:fy2026-powerbi|usaspending:089-0240,reference_only_pending_phase_3_2a_contract
DODS&Taccounts:: S&T (6.1-6.3),Defense,DODS&Taccounts, S&T (6.1-6.3),aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",This AAAS character-of-work aggregate spans the five service and Defense-Wide RDT&E accounts.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODS&Taccounts::Adv Technology Development (6.3),Defense,DODS&Taccounts,Adv Technology Development (6.3),aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",This AAAS character-of-work aggregate spans the five service and Defense-Wide RDT&E accounts.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODS&Taccounts::Applied Research (6.2),Defense,DODS&Taccounts,Applied Research (6.2),aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",This AAAS character-of-work aggregate spans the five service and Defense-Wide RDT&E accounts.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODS&Taccounts::Basic Research (6.1),Defense,DODS&Taccounts,Basic Research (6.1),aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",This AAAS character-of-work aggregate spans the five service and Defense-Wide RDT&E accounts.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODS&Taccounts::R&D (6.1-6.6),Defense,DODS&Taccounts,R&D (6.1-6.6),aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",This AAAS character-of-work aggregate spans the five service and Defense-Wide RDT&E accounts.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODBasicMil::Air Force,Defense,DODBasicMil,Air Force,account_or_program_line,resolved,one_to_one_or_alias,057-3600,"Research, Development, Test, and Evaluation, Air Force",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:057-3600,reference_only_pending_phase_3_2a_contract
DODBasicMil::Army,Defense,DODBasicMil,Army,account_or_program_line,resolved,one_to_one_or_alias,021-2040,"Research, Development, Test and Evaluation, Army",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:021-2040,reference_only_pending_phase_3_2a_contract
DODBasicMil::Defense Agencies,Defense,DODBasicMil,Defense Agencies,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODBasicMil::Navy,Defense,DODBasicMil,Navy,account_or_program_line,resolved,one_to_one_or_alias,017-1319,"Research, Development, Test, and Evaluation, Navy",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:017-1319,reference_only_pending_phase_3_2a_contract
DODBasicMil::Space Force,Defense,DODBasicMil,Space Force,account_or_program_line,resolved,one_to_one_or_alias,057-3620,"Research, Development, Test, and Evaluation, Space Force, Air Force",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:057-3620,reference_only_pending_phase_3_2a_contract
DODBasicProgs::Defense Research Sciences,Defense,DODBasicProgs,Defense Research Sciences,aggregate_or_total,provisional,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",The program label omits a service/program-element identifier; these are the defensible candidate RDT&E accounts pending bill-table review.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODBasicProgs::Minority Institutions,Defense,DODBasicProgs,Minority Institutions,account_or_program_line,provisional,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",The program label omits a service/program-element identifier; these are the defensible candidate RDT&E accounts pending bill-table review.,aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODBasicProgs::National Defense Education Program,Defense,DODBasicProgs,National Defense Education Program,account_or_program_line,provisional,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",The program label omits a service/program-element identifier; these are the defensible candidate RDT&E accounts pending bill-table review.,aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODBasicProgs::OSD Initiatives,Defense,DODBasicProgs,OSD Initiatives,account_or_program_line,provisional,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",The program label omits a service/program-element identifier; these are the defensible candidate RDT&E accounts pending bill-table review.,aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODBasicProgs::Univ Research Initiatives,Defense,DODBasicProgs,Univ Research Initiatives,aggregate_or_total,provisional,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",The program label omits a service/program-element identifier; these are the defensible candidate RDT&E accounts pending bill-table review.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODBasicProgs::University / Industry Research Centers,Defense,DODBasicProgs,University / Industry Research Centers,aggregate_or_total,provisional,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",The program label omits a service/program-element identifier; these are the defensible candidate RDT&E accounts pending bill-table review.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODOther::Defense Medical Research,Defense,DODOther,Defense Medical Research,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,097-0130,"Defense Health Program, Defense",The label identifies research carried in the Defense Health Program account.,aaas:fy2026-powerbi|usaspending:097-0130,reference_only_pending_phase_3_2a_contract
DODOther::Defense-Wide Manufacturing S&T,Defense,DODOther,Defense-Wide Manufacturing S&T,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",The label is a Defense-Wide RDT&E program.,aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODOther::DIU,Defense,DODOther,DIU,account_or_program_line,provisional,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide","The organization/program is commonly funded through Defense-Wide RDT&E, but the AAAS label does not identify the appropriation/program element.",aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODOther::National Security Innovation Network,Defense,DODOther,National Security Innovation Network,account_or_program_line,provisional,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide","The organization/program is commonly funded through Defense-Wide RDT&E, but the AAAS label does not identify the appropriation/program element.",aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODOther::SERDP,Defense,DODOther,SERDP,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",The label is a Defense-Wide RDT&E program.,aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODMil:: Total,Defense,DODMil, Total,aggregate_or_total,resolved,one_aaas_row_to_many_federal_accounts,021-2040|017-1319|057-3600|057-3620|097-0400,"Research, Development, Test and Evaluation, Army|Research, Development, Test, and Evaluation, Navy|Research, Development, Test, and Evaluation, Air Force|Research, Development, Test, and Evaluation, Space Force, Air Force|Research, Development, Test, and Evaluation, Defense-Wide",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:021-2040|usaspending:017-1319|usaspending:057-3600|usaspending:057-3620|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODMil::Air Force,Defense,DODMil,Air Force,account_or_program_line,resolved,one_to_one_or_alias,057-3600,"Research, Development, Test, and Evaluation, Air Force",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:057-3600,reference_only_pending_phase_3_2a_contract
DODMil::Army,Defense,DODMil,Army,account_or_program_line,resolved,one_to_one_or_alias,021-2040,"Research, Development, Test and Evaluation, Army",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:021-2040,reference_only_pending_phase_3_2a_contract
DODMil::Defense Agencies,Defense,DODMil,Defense Agencies,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:097-0400,reference_only_pending_phase_3_2a_contract
DODMil::Navy,Defense,DODMil,Navy,account_or_program_line,resolved,one_to_one_or_alias,017-1319,"Research, Development, Test, and Evaluation, Navy",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:017-1319,reference_only_pending_phase_3_2a_contract
DODMil::Space Force,Defense,DODMil,Space Force,account_or_program_line,resolved,one_to_one_or_alias,057-3620,"Research, Development, Test, and Evaluation, Space Force, Air Force",The service label directly selects the corresponding RDT&E federal account; Total is the explicit five-account aggregation.,aaas:fy2026-powerbi|usaspending:057-3620,reference_only_pending_phase_3_2a_contract
